,CDI-01,linux-cdi
00:19:99:c4:18:5d,CDI-02,linux-cdi
00:19:99:c2:30:fa,CDI-03,linux-cdi
00:19:99:c4:17:a8,CDI-04,linux-cdi
00:19:99:c4:18:57,CDI-05,linux-cdi
,CDI-06,linux-cdi
00:19:99:c2:30:97,CDI-07,linux-cdi
00:19:99:c2:8c:52,CDI-08,linux-cdi
00:19:99:f9:b0:96,CDI-GESTION,linux-cdi
54:be:f7:34:97:c9,CDI-SERVERBCDI,linux-cdi
,INFO-01,linux-info
,INFO-02,linux-info
74:27:ea:b4:61:4d,INFO-03,linux-info
74:27:ea:b4:60:a9,INFO-04,linux-info
74:27:ea:b4:62:49,INFO-05,linux-info
74:27:ea:b4:60:ca,INFO-06,linux-info
74:27:ea:b4:60:c1,INFO-07,linux-info
,INFO-08,linux-info
74:27:ea:b4:62:9f,INFO-09,linux-info
74:27:ea:b4:60:ce,INFO-10,linux-info
74:27:ea:b4:60:b8,INFO-11,linux-info
74:27:ea:b4:62:41,INFO-12,linux-info
74:27:ea:b4:63:09,INFO-13,linux-info
54:be:f7:34:83:a4,INFO-14,linux-info
54:be:f7:34:97:00,INFO-15,linux-info
54:be:f7:34:95:82,INFO-16,linux-info
54:be:f7:34:98:d7,INFO-17,linux-info
,INFO-18,linux-info
54:be:f7:34:97:6d,INFO-19,linux-info
54:be:f7:34:86:6e,INFO-20,linux-info
54:be:f7:34:84:3c,INFO-21,linux-info
54:be:f7:34:84:ab,INFO-22,linux-info
54:be:f7:34:85:7a,INFO-23,linux-info
54:be:f7:16:94:95,INFO-24,linux-info
00:19:99:c2:2e:c4,INFO-25,linux-info
54:be:f7:34:95:49,INFO-26,linux-info
,INFO-27,linux-info
54:be:f7:34:98:c4,INFO-28,linux-info
54:be:f7:34:96:89,INFO-29,linux-info
54:be:f7:34:91:e3,INFO-30,linux-info
54:be:f7:34:89:be,INFO-31,linux-info
00:19:99:c2:30:9e,INFO-32,linux-info
00:19:99:f9:b3:23,INFO-PROF,linux-info
none,LABO-01,linux-labo
00:19:99:75:7f:93,LABO-02,linux-labo
00:19:99:75:7d:f4,LABO-03,linux-labo
